Lockdown Day;Date;Context;;
39;04-May-20;An estimated 1.5 million South Africans return to work, as some industries reopen under Level 4 lockdown.;;
40;05-May-20;;;
41;06-May-20;;;
42;07-May-20;;;
43;08-May-20;;;
44;09-May-20;;;
45;10-May-20;10 000 confirmed cases;;
46;11-May-20;;;
47;12-May-20;;;
48;13-May-20;;;
49;14-May-20;;;
50;15-May-20;;;
51;16-May-20;;;
52;17-May-20;;;
53;18-May-20;;;
54;19-May-20;Estimate forty-thousand deaths by November;;
55;20-May-20;;;
56;21-May-20;;;
57;22-May-20;;;
58;23-May-20;;;
59;24-May-20;;;
60;25-May-20;;;
61;26-May-20;;;
62;27-May-20;;;
63;28-May-20;;;
64;29-May-20;;;
65;30-May-20;;;
66;31-May-20;;;
67;01-Jun-20;LEVEL 3;;
68;02-Jun-20;Gauteng High Court rules that lockdown regulations for levels 3 & 4 are unconstitutional and invalid;;
69;03-Jun-20;extended the state of disaster, which was to lapse on 15 June, to 4 July;;
70;04-Jun-20;;;
71;05-Jun-20;;;
72;06-Jun-20;;;
73;07-Jun-20;;;
74;08-Jun-20;;;
75;09-Jun-20;;;
76;10-Jun-20;;;
77;11-Jun-20;;;
78;12-Jun-20;Re-announcement of alcohol ban / curfew / President Ramaphosa announced that the anticipated surge in COVID-19 cases had arrived. / The state of disaster was extended until 15 August 2020 ;;
79;13-Jun-20;;;
80;14-Jun-20;;;
81;15-Jun-20;;;
82;16-Jun-20;;;
83;17-Jun-20;;;
84;18-Jun-20;;;
85;19-Jun-20;;;
86;20-Jun-20;;;
87;21-Jun-20;;;
88;22-Jun-20;Centre for Actuarial Research estimated that 17,090 excess natural deaths had taken place between 6 May and 14 July 2020 in South Africa. 100 000 confirmed cases ;;
89;23-Jun-20;President Ramaphosa announced the re-closure of all public schools for four-weeks.;;
90;24-Jun-20;;;
91;25-Jun-20;;;
92;26-Jun-20;;;
93;27-Jun-20;;;
94;28-Jun-20;;;
95;29-Jun-20;;;
96;30-Jun-20;150 000 confirmed cases;;
97;01-Jul-20;;;
98;02-Jul-20;Ramaphosa extends the deployment of 20,000 soldiers until the end of September at a cost of R1.5bn;;
99;03-Jul-20;;;
100;04-Jul-20;;;
101;05-Jul-20;;;
102;06-Jul-20;;;
103;07-Jul-20;;;
104;08-Jul-20;Western Cape Premier�Alan Winde�tested positive for COVID-19;;
105;09-Jul-20;;;
106;10-Jul-20;;;
107;11-Jul-20;;;
108;12-Jul-20;President Ramaphosa addressed South Africa, announcing the anticipated surge of cases has arrived. National State of Disaster extended until 15 August 2020. Alcohol ban reintroduced. Curfew from 21:00-4:00;;
109;13-Jul-20;;;
110;14-Jul-20;;;
111;15-Jul-20;;;
112;16-Jul-20;;;
113;17-Jul-20;;;
114;18-Jul-20;;;
115;19-Jul-20;;;
116;20-Jul-20;;;
117;21-Jul-20;;;
118;22-Jul-20;;;
119;23-Jul-20;Re-closure of public schools for four weeks (27 July to 24 August 2020) and extension of academic year into 2021. ;;
120;24-Jul-20;;;
121;25-Jul-20;;;
122;26-Jul-20;;;
123;27-Jul-20;;;
124;28-Jul-20;;;
125;29-Jul-20;;;
126;30-Jul-20;;;
127;31-Jul-20;;;
128;01-Aug-20;500 000 confirmed cases;;
129;02-Aug-20;;;
130;03-Aug-20;;;
131;04-Aug-20;;;
132;05-Aug-20;;;
133;06-Aug-20;;;
134;07-Aug-20;President Ramaphosa announced that ministerial committee would be setup to investigate COVID-19 corruption in state tenders;;
135;08-Aug-20;;;
136;09-Aug-20;;;
137;10-Aug-20;;;
138;11-Aug-20;;;
139;12-Aug-20;;;
140;13-Aug-20;;;
141;14-Aug-20;;;
142;15-Aug-20;President Ramaphosa addressed the nation announcing the passing of the COVID-19 peak, the lowering of restrictions to level 2 and the extension of the national state of disaster by another month;;
143;16-Aug-20;;;
144;17-Aug-20;;;
145;18-Aug-20;LEVEL 2 BEGINS;;
146;19-Aug-20;;;
147;20-Aug-20;;;
148;21-Aug-20;;;
149;22-Aug-20;;;
150;23-Aug-20;;;
151;24-Aug-20;;;
152;25-Aug-20;;;
153;26-Aug-20;;;
154;27-Aug-20;;;
155;28-Aug-20;;;
156;29-Aug-20;;;
157;30-Aug-20;;;
158;31-Aug-20;;;
